leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
190e15cf-d820-49ab-a900-3bcb02507240,RANKED_SOLO_5x5,DIAMOND,III,hefbKcHXDPt1Irot-GShFxmgq2w9xTm1mFC9ky07vAoqsk0,acrylickd,5,179,149,False,False,False,False,
0ae2cc99-31d4-4bdd-967a-33f235fe9935,RANKED_SOLO_5x5,DIAMOND,III,PXkPwidL1ve3yI6nUDAa8nxVdXcpj2Q-1AxwPG9smYSm8QY,Lil Fiesty,18,80,55,False,False,False,False,
5b76481e-0327-453c-b6a1-1daf4dc6252d,RANKED_SOLO_5x5,DIAMOND,III,ggGIU6ihUfpKeUpo-3ip-Dds9RSBrwTPX_BKXcXsrdwfhLU,Deadawakein,26,547,545,False,False,False,False,
53ddc606-45b0-4bc3-b7f9-646a0c82c9c1,RANKED_SOLO_5x5,DIAMOND,III,WnzZr2KmQJDgRuU80mFoc_3PNQNz2xFSKJLrsuQj1FindLA,K1NGD0M,1,229,211,False,False,False,False,
edaa8a8a-f207-45e0-a544-a664574fbb39,RANKED_SOLO_5x5,DIAMOND,III,v7gJL6oO-vwO0Dkwt2qITq4rGmzpI4OHRvYN39RqIoim6Jc,Extremely Stupid,0,93,79,False,False,False,False,
ef3508c4-e507-4469-8e91-d8a8b0008201,RANKED_SOLO_5x5,DIAMOND,III,nd97-08kYkE0iHbLVpkIxH8_UPH0-36C1lmBSStqGhgdrr8,Glizzy G0D,16,72,68,False,False,False,False,
1074b80e-cc03-4adc-b760-df6f6e7f235e,RANKED_SOLO_5x5,DIAMOND,III,DhG4EtHV27euCCC0Wg2ZyBnS6GNrBt9n1G58VU1WXtesq4A,dudewitbangs,64,57,56,False,False,False,True,
a5697e5e-529c-4aed-9e66-685c215f04e0,RANKED_SOLO_5x5,DIAMOND,III,3IBiHeaQjAilkNZXwbyruvvXGXNvLJYxF331eHRhq6bAcHA,Riven is my Mom,35,173,156,False,False,False,True,
f5d7b29e-edf5-4b3f-8953-b65fb3dc90b9,RANKED_SOLO_5x5,DIAMOND,III,Fq34toONwPra7cU7bfWCo8iNTglZ881xlCv1NEZP_SatTWQ,1v1 My Box,16,236,212,False,False,False,False,
5b76481e-0327-453c-b6a1-1daf4dc6252d,RANKED_SOLO_5x5,DIAMOND,III,LscJLofUYWZVFf2O0o3UGQ-Bx2PaFKEIbD4lkTR_-fuVWrE,Lu Jiu,79,200,187,False,False,False,False,
2b6d7461-7d8c-4e63-bb60-96da2b5598e0,RANKED_SOLO_5x5,DIAMOND,III,i8Vd-zMEA_bUPT1VdUL3E0kdFAc2UDrbKAiHUQXSIyIv-4o,Le Sero,74,23,32,False,False,False,False,
e1bc2781-2286-49b8-87d1-616fe546a63a,RANKED_SOLO_5x5,DIAMOND,III,eVUoWohoJxQlNBJjh0davuyn7eUAhWuUgkiC1q7gEy2lTaE,Slaynman,0,61,67,False,False,False,False,
6d8f9bb8-db18-460a-ae81-8f9e9a6556fd,RANKED_SOLO_5x5,DIAMOND,III,Gx43gMpvolPagKjs7ifwrEsdYxEUvSEQ4qNFtV37Lm-M5jA,quarer,24,433,434,False,False,False,False,
68ffa336-7735-4d29-a26b-bcd75f4bccec,RANKED_SOLO_5x5,DIAMOND,III,irv7zCuUqRbH6c6RdBT2MoVE-wGKwwIXyBEUsV5GO4lXyjU,15harish,43,426,432,False,False,False,False,
