,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
332,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,bFUnDsEYduepCpTn44R6WRZzUdt0jZHIuFb-ffEkRX7Mur4,Rìchie,0,162,140,False,False,True,False
333,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,VBZjIg8bIxPK3Zk0Z0LiZN_cm58y4hAWi_6jBnxBc30wlbM,X2JIE,0,161,116,False,False,True,False
334,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,K38nZfgVDF5048-3GZ9l2EcZkmeeBMKO3NOhgM8Ij4On9fs,L9rd,0,161,117,False,False,True,True
335,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,evgxceN8nnnyBqY5_fjiTx2Nl2kAspx1FcnvT_vEnvW3NCM,andrxmeda,0,157,142,False,False,True,False
336,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,ARlAQtJNqMqe8JVDEdbbDgzYBiqoNHaisipPHzNLtXRqIBA,Qiu Ni Ai Wo,0,153,138,False,False,True,False
337,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,d5Ua7cPaWbvianPGyUJnJk6qOhJRaSjFYqHiiav5zofduo0,Tonington,0,150,140,False,False,True,False
338,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,4PPLRnLr-uHoRBmXoQbftwOdsqBTwo0km-7NxAnqIJqIX4c,Susan the Cane,0,149,112,False,False,True,False
339,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,JRO61GgM2qDAFsvWN_cKYs19EJWnHqRSycUca1XeBByc8kE,MYholiday,0,145,123,False,False,True,False
340,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,wdbuty3_ea7n_Q5iHhESqjJEV7p-C32c24ERM0NpBp_ptrM,Awaker Allan,0,145,129,False,False,True,False
341,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,kaCkPNpBbjW3czYDm7IsA-JsDLvuyCiVerV4Z8NFPdzja8k,HOLYMOLLY420,0,144,134,False,False,True,False
342,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,beY7jN82uYBROPPZt9nXdKosKqk0WHH4s0tw0nUTktdoKTE,apaperbird,0,143,90,False,False,True,False
343,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,GoX6SWqKdVpuuVVx50hI0_IXNXJau7cxBPssObMYbpkiOzg,Benhart Vance,0,141,127,False,False,True,True
344,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,FzPF9HAAaTwN-h5ChM0-GvbFhEsEN3-8H6hEzLkpFUVEZA4,smooth groove,0,138,131,False,False,False,False
345,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,H0umJ0JL1g_SQsE-rTe00b_-jNvnRVaekMs-SzF6wG_MECI,TwTV Nana,0,137,130,False,False,False,False
346,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,guniCs_jNiQR3s-hWxVxFUvY1c2mLIwwDpc7hF89tDdtQic,brTT,0,136,118,False,False,True,True
347,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,i5FHgEIoHN7DWDtepxqjZDEdkOoVoq3icOHsCMwoP3-zodUM,Meeks Coaching,0,135,71,False,False,True,False
348,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,LEAJCZsHVuK0QteyECIH2wrcDZ0e2y9GsqJ11HsNMPs0QQUv,YOU ARE SO BAD,0,128,47,False,False,True,False
349,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,xuEh_lVMP-LNMg5zTGwu4qrP9Ja84tVM6LShkj4udFgi6rs,moutoN,0,126,92,False,False,True,True
350,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,d2KncdQdrHarGNEUmazGdrwAkDGEBkq8rrLYlzeNyn-Zgqc,No One Like Me,0,121,102,False,False,False,False
