,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
1435,6d8f9bb8-db18-460a-ae81-8f9e9a6556fd,RANKED_SOLO_5x5,DIAMOND,II,iTlHfnS4CxytHNfsqKKRs0QD1pSgJ3TfzH0_Qto1smWyXBE,Akimbo Dads,78,239,211,False,False,False,False,
1436,d786dab9-be3a-4cf2-a102-69b2c52c5c93,RANKED_SOLO_5x5,DIAMOND,II,WQ6gyA18l_bzWaoM7nfol9DNLqS6Kpe8fjNR1T0cZ0duewI,BeowuIf,94,525,528,False,False,False,False,
1437,7a85fad0-8f87-4fff-9351-f90625948475,RANKED_SOLO_5x5,DIAMOND,II,T1se8SRwabSDhd6KSkLP-FfIfOKt--PBZjsUKSkIIcdoyoU,Omishio,2,35,40,False,False,False,False,
1438,b836d0c4-cf90-4911-8b2c-86614b04161f,RANKED_SOLO_5x5,DIAMOND,II,xsnFML9ah3J0f_mlUsAPMcIyQ46NRruVbZiP7V8lLKCXrsY,Aijo,40,616,634,False,False,False,False,
1439,39b97115-0a18-4e69-a34e-fc3eaad237cf,RANKED_SOLO_5x5,DIAMOND,II,0MogovCvT5f4Vr08RRIG3yXC3Meh0sTBc3dnNP0J8h00hN0,Best Teemo N4,75,491,497,False,False,False,True,
1440,1670833c-7015-49d9-9359-8cb2c0454d87,RANKED_SOLO_5x5,DIAMOND,II,kTmUfijvyqQswVKCszg4yBNNhQOjDKJd_kRESz2yYlvQMSY,MaddMikee,24,75,56,False,False,False,False,
1441,38055cd7-d247-4272-a689-10cd06ffd41a,RANKED_SOLO_5x5,DIAMOND,II,1j_G0Y3lIsIpRhpfi2bcD5C20ruAW7ZcZWZOATfxFZCqIdk,DontonOne,69,191,184,False,False,False,False,
1442,ce56f4dc-c444-428e-be7c-f9fcd8be2d52,RANKED_SOLO_5x5,DIAMOND,II,iLvsOBarkIQn5DUwC1YkOuqFt03k8fO9dxS0eOwRdXPQrOo,Cappuchino,73,74,41,False,False,False,False,
1443,426f6d80-b661-4d4c-a85a-436bb493ed97,RANKED_SOLO_5x5,DIAMOND,II,Wd6BU0GmTK1dSDJxoUwpOfCK-WtfWNVNdvwhLsNf7H9IJfw,Ultïmatum,24,76,65,False,False,False,False,
1444,163ff8ef-fb99-475b-baba-7e727cf2b5f4,RANKED_SOLO_5x5,DIAMOND,II,ooCoN5v2VGnLScptR3ktpMAv37yf7uAW_v3GrHigfJ4jQ2E,Navn,43,836,847,False,False,False,False,
1445,b2068b82-8d83-4616-a524-3a3bd4d17568,RANKED_SOLO_5x5,DIAMOND,II,ZXkFIXzI8Vxon4oFRXMhj0wzrSxM55__IFBSREvvy4CH88c,lmarkih,0,185,167,False,False,False,False,
1446,673bf6af-8224-4e81-b651-0276fdf1cf6c,RANKED_SOLO_5x5,DIAMOND,II,tQtELPOsp8paIez15h0_qtvHgxRETRtbFd_StAzS8yVuwJA,LearningToPIay,18,520,524,False,False,False,False,
1447,088c39cc-c090-4f3e-8155-104cc3e340ea,RANKED_SOLO_5x5,DIAMOND,II,1elF3URuXJIEm3KQ0Ss79_HEOnzEO28XFH-8fDlEl8YWWYU,Zomgturkey,4,187,197,False,False,False,False,
1448,7cf1753d-9ac8-4cf6-962b-bbf096a93263,RANKED_SOLO_5x5,DIAMOND,II,14cKW6ak-bgLgxzZVyfM-I2MN4EZ-_cBaHUXDBd-p68vAZE,terryta,24,238,228,False,False,False,False,
1449,e69454f2-8233-4899-bfcb-7dafbb867f64,RANKED_SOLO_5x5,DIAMOND,II,VW40wcBTj2pI_YHz3YQiGk6XEKpev8ucQso-FbaAI0RaKSU,ilovepepsirock,18,338,331,False,False,False,False,
1450,39b97115-0a18-4e69-a34e-fc3eaad237cf,RANKED_SOLO_5x5,DIAMOND,II,s5goB8anIpaYTAPdmN4AqFFwk5TwO6BNRH6R5gCaIJ1gWYI,Danman96,70,196,203,True,False,False,False,
