leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,BFNvw2o1tiyouT7busqH3ASrBO4-dgt-N-SUiEgIIWDfrnFz,Vice,653,182,139,False,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,BY3-w3kLQZk7dlqw6IjrK-kyuHcc50PdywHNxBSX-s_RuTQ,Tony Top,651,831,789,True,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,tj9aXrwyEmPvQSXflATNyNHjD_8MmqnDXlc_Lkpzs15X8ag,Shøryu,651,288,241,True,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,adF_CAqYEeZWj7b-xLablwTUmbDOhBXVUA-lmQ_Nwuqcnmw,Allorim,650,347,325,False,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,4Xv1DZajQG2jvhRpmS5JLVkf5EmZlZA7942qyiPvnCTa_84,40 on akali,650,198,161,False,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,PoR8zSxEdKxsGPeMQvpEAcfy27v48GDRVFmiHgXdgb-GF7I,shaneylove,647,446,414,True,False,False,True
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,mqZSpWWMDwunNCkB_13-sCAhYUbu6vQSFeuoHsPTSlnMbZo,Alaan,647,253,218,False,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,9GUFzvNlPfjPhYvTuo_C_JRuKNlxhk_dS-YQ8vMbkTe3T5U,Scyrnn,645,577,543,False,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,7Kf3ouHs1QeuI47e-hpfB0Wr0cMuq2KW-XuX88rxOZ5dkQwe,Fall Guy 1353,645,91,59,False,False,False,False
c60807e8-6afb-38fd-ab9b-ae8588dc8b27,RANKED_SOLO_5x5,CHALLENGER,I,p-vPfoqaqGINe4oUNoTP6NFyaHov1EzyaxWcS0vidWxtbFQ,LEGO UNIVERSE,644,164,118,False,False,False,False
