,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
25,19d72783-d23d-4044-ae4d-4677177ab76f,RANKED_SOLO_5x5,IRON,III,caTg7ygH4iEMaSm9r1KMDjIkbD1PJH3PiiumSSeAge-6uM00,BOTADAMBOi,59,9,39,False,False,False,False,
26,2cdab337-59b2-4439-a61d-749638997076,RANKED_SOLO_5x5,IRON,III,FrI3kcaR2-NwJNHTRlIsOBsuFkCIKpPv4J5Fjn2FmEt-XMzJ,B1ueRos3,18,79,113,False,False,False,False,
27,6019b6e5-1472-4b75-a6a7-35f0321fb43a,RANKED_SOLO_5x5,IRON,III,6Pk6-TDraENbpQavxOYzFsS48aqR6AxtLX5WpcV7JMH6-Bab,DarkReaper190,73,5,9,False,False,False,False,
28,43bc59f2-e51e-4712-8097-d6d1f3e87bb5,RANKED_SOLO_5x5,IRON,III,d_xIih7Eg5iJdMkUxfHTBSt15n5dJiC15FD7sx9KirghLqoa,SilverDragon700x,45,73,81,False,False,False,False,
29,2ab2a03f-3d7b-4a28-b4c1-0638ce0f2f17,RANKED_SOLO_5x5,IRON,III,H0FBgo1YA30qWI61_z74FEARRXX2NiphvtCjf1068nx0bzFr,Cyber Dorito,100,10,9,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
30,3be2d3f7-9fee-462a-ac86-0c97edf5bee4,RANKED_SOLO_5x5,IRON,III,O3Pi1XTkIcV8uLLIY72fh3uwYUdv5ZN8cUKWxiLTGQRW2isE,sarmad4477,100,7,7,False,False,False,True,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}"
31,01d85d30-0f74-41fc-9623-c5dbc72e076a,RANKED_SOLO_5x5,IRON,III,Xn-SfMrhmI88-bSMAz9Vpym5Y7Z_Do0YtilyGKEp2X-uPl58,SkyfyreZ33,69,4,9,False,False,False,False,
32,15474433-d369-4cf6-94d8-d54289ba22a8,RANKED_SOLO_5x5,IRON,III,gpFz7okyr_bdGbuu-jToVpQvvZOtS-iQZsOflc6j5alHSUF2,willtard2604,0,3,10,False,False,False,False,
33,78ea2d73-cb2c-4f82-92d0-485164e79a9b,RANKED_SOLO_5x5,IRON,III,r5OgTa38_e-z6EaXd6YZUZHrJUaIxdTU2-JmV-pn9Ffw863T,Banksy815,100,6,8,False,False,False,False,"{'target': 2, 'wins': 0, 'losses': 1, 'progress': 'LNN'}"
34,a7ca78b0-3d4c-4a8d-b0d9-9d6c6ba635e8,RANKED_SOLO_5x5,IRON,III,KH31f1dYfW5uuB3q7oVhWed4s6DRsS8O310yHJv3f1M0L2Dg,paoge1234,48,18,41,False,False,False,False,
35,3d1c93e7-a860-4778-88f3-043d35cc3298,RANKED_SOLO_5x5,IRON,III,Sm9DynA_2JTAikqgsRqrrWdb15eabjO6_CFm1ArGPC3uj6VK,jimmythehippy,0,4,25,False,False,False,False,
36,1fb05c2e-68c0-4c4f-a99e-cba17f1a0766,RANKED_SOLO_5x5,IRON,III,h9z8qMK1K5DxUu1Zj5gviJci5Qr3MnBy_E95MQ9DFh3zVhuP,Millerm6556,44,4,10,False,False,False,False,
37,cbec65a7-b839-49e9-8eef-ef274781651a,RANKED_SOLO_5x5,IRON,III,vu2GsOmanbPIC310t6z8c4YVM_4G2U7mCCy_2WxwzYeDaOVe,TE1ACE,15,15,23,False,False,False,False,
38,2cdab337-59b2-4439-a61d-749638997076,RANKED_SOLO_5x5,IRON,III,TrDLZ9-01saHfgUi_OoYzAXkDr-yU4WYMQ1tX4Qq3_Cbe9rR,meovden,54,13,34,False,False,False,False,
39,bd897b65-576b-4cf3-a698-831769816aa9,RANKED_SOLO_5x5,IRON,III,s8c23L8zz8h6jEOeTm7AjPtmL78DFE0Fm60iu6-amGbaHEyC,Thunderh4wk,23,3,11,False,False,False,False,
