leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
9f79a5dc-4122-4691-83b4-50789b9ee77b,RANKED_SOLO_5x5,IRON,IV,rapRYbKbkdNUavTEYJeM5CfJStHJg1oZ9HsZxJeFNxmZw7A,2ti,83,2,9,False,False,False,False,
9a47dc63-a7a8-4678-be9e-cc10801ef380,RANKED_SOLO_5x5,IRON,IV,pJX4-121WzHX--kxqJqTdWLdayA23n6f4_AAxWPEh7EGz7k,Leemosaur,53,38,75,True,False,False,False,
1c93ac5e-43aa-4034-875b-2da6ee68f271,RANKED_SOLO_5x5,IRON,IV,xNGzGgJXfPb8HOJL-V1KqtINOOu5AN1VPBNP74ZtcXa_cXs,Sirhc Bossman X,15,12,26,False,False,False,False,
a64bb8e4-5eeb-4e15-bae2-c9bb871e7c66,RANKED_SOLO_5x5,IRON,IV,hwhZ0cOBNrebgtxMgWzK-pKPUn_p30xbnCnM12zB021qZek,Virusof210,44,9,15,False,False,False,False,
54c0b27a-8d5e-4aef-a703-eefc011f4582,RANKED_SOLO_5x5,IRON,IV,PIsgOw6_G6hb8xf2HDtWgQ_BlJ-J5a4Xd3B69faRD8ViWww,sigonasr2,18,35,107,True,False,False,False,
b88838e5-da1d-4d41-9227-925c223a9cda,RANKED_SOLO_5x5,IRON,IV,TAWLN3ngfg_I3cvlWPjstKb6vMKhOIK1lBn1JbmP4A0cPL8,chauhedo,14,2,15,False,False,False,False,
84ca4dc3-5d99-47fd-88f4-358fcd8b5cba,RANKED_SOLO_5x5,IRON,IV,r28L5gzzTaU_4BtkpxSttv1ltOgc2FXD6kZxHzQZT-uSWSY,The Blackest Jig,17,9,22,False,False,False,False,
dc0a834c-8866-428e-baf9-1039589b2985,RANKED_SOLO_5x5,IRON,IV,n1Z1zoZkLEsvfWBHF3znSPeiQzE3sWV75J8MPckWX4TUDU8,XM3rcyX,2,1,11,False,False,False,False,
44b8c249-a98f-4c5f-bca0-c9f4bfafc5da,RANKED_SOLO_5x5,IRON,IV,dO7cBWU7UvraiumkfRrY4uxD4ZEDNsx-O7NFEIZ7liaEOns,iceman4200,26,29,34,False,False,False,False,
12f4a799-4664-418c-b65f-32851b224da0,RANKED_SOLO_5x5,IRON,IV,zAdZBGSIfI8aGpq7kWi_Tlwl9kESHENwqs-U3ZoE3U_R4oQ,Brade1,66,58,68,False,False,False,False,
834d4122-48a1-41c9-a935-c0df4776d235,RANKED_SOLO_5x5,IRON,IV,9-KVxfBRdmZvz6K3TuBPS2I5EE8pAI2flifv5kZa-93Jvfs,StitchUpGrunt,62,5,12,False,False,False,False,
89d701e2-a8c6-4304-88b2-a2ae9adaff6e,RANKED_SOLO_5x5,IRON,IV,zwhn_K0SAqindGVpJghokjYBIcmlw85GF8RHUiejBGa-TWg,Evan Kaos,49,35,49,False,False,False,False,
261f4a47-2dc8-4090-9f9c-26c6ea817a11,RANKED_SOLO_5x5,IRON,IV,k_gsEf1eU52gXLqZo1wPz0G9hyy0ckUyFHQn-SwpNpH0aBY,Rahktan,69,39,48,False,False,False,True,
a826d130-37b5-40dc-bf14-5b6887c84c01,RANKED_SOLO_5x5,IRON,IV,y3r-MJWpoF61YDWeQGk66E5T5Oab-sFmPYmY4okQaPXieMo,GoldshotGG,0,5,20,False,False,False,False,
d1840476-56f6-47c0-b041-f1e1014591c2,RANKED_SOLO_5x5,IRON,IV,pkZAfNhcdb02rGI-UT3Ktxol2Z-pZqNIffsQlfWVshsfNrA,KillaKlanKozzy,75,16,23,False,False,False,False,
71def1d5-718a-4cba-bee0-e3919e369e81,RANKED_SOLO_5x5,IRON,IV,yzGMqxR1OE0mCIWFg0Qye_qhY6ivksnxmRunvFp8HRYoh60,The Real matrikz,33,3,11,False,False,False,False,
51640210-40eb-4d0f-8c86-41bfcb910d02,RANKED_SOLO_5x5,IRON,IV,XJkE0G28RFV_kr1MR3PFl8jwNpP3QpzMl6ndS2wz1p_APOU,DJ Okawari XDDDD,75,3,10,False,False,False,False,
d36ae339-8399-4ac8-b904-1cf694514eb5,RANKED_SOLO_5x5,IRON,IV,apnmMKlKBC2Eo-NQAqMon8acd3IQPoSfwOgAGl8XibNx3xE,KiyomiKawaii,100,137,219,False,False,False,False,"{'target': 2, 'wins': 1, 'losses': 1, 'progress': 'WLN'}"
c54c6fb3-9064-4c87-8a25-79a9de3362a9,RANKED_SOLO_5x5,IRON,IV,0Baz8tOUXHJPhFdhWfwr_ixmUsAzkuvbAytYY4QkpSU2Oy8,mrsmcbrayer,73,10,14,False,False,False,False,
88f2c4f7-b620-4995-a3f2-f338312feb86,RANKED_SOLO_5x5,IRON,IV,FVPO-KmC3EA5yHSY0V1-ROLB3ooFEAA6zU41RIvch4rrjYw,One Who Shares,10,2,12,False,False,False,False,
