,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
2500,21,5,73524,1.59418E+12,51924,0,TRUE,1,9Qvx3MdUjgnhJHZHaMqrKBrlHT-ZQoIKw2V9gi6PmMXzXsqm
2501,92,3,11366,1.56316E+12,5366,1234,FALSE,0,uFaPJcwcBc4ePzy3notQaH6qdSumyOShqp8OHpqqsHxnL8Y
2502,78,6,94603,1.59588E+12,73003,0,TRUE,2,E6FuNayOz7MZC6WZNrW5tiaML9GQy38B801DNc37DQ8TFfE
2503,267,7,269284,1.60232E+12,247684,0,TRUE,0,5kTP7xeg8IjmS88SD6JdQ1xTuYDw-UNZ-XmKwA6N3PQ49Vc
2504,86,7,191390,1.59799E+12,169790,0,TRUE,0,TfeqMoP0DQa0kwWjHW-Hbbw_HeWSHv-2pBFLjfqSf4fDRAA
2505,62,5,101434,1.60014E+12,79834,0,FALSE,1,dFsfprACxDdcMepOhctskMqOgnNPoR8UrZcaJkwE32W24GU
2506,555,7,65260,1.60109E+12,43660,0,TRUE,0,Jsd5E51weImfgGEJrO2R7HGJvPZJQQ9aMOpKFGBfo7DWxuPp
2507,555,7,88117,1.59562E+12,66517,0,TRUE,0,tqDmsNBDYOoiXS0Sgr69D3LVAkpcfDh2B1FYuD_9G9BHLaM
2508,238,7,199856,1.60213E+12,178256,0,TRUE,0,7h3GEkjVrQpycnYktIppW-P3TDynTZBGq0L2M4wUXHWnHkU
2509,412,6,42402,1.60187E+12,20802,0,TRUE,2,t9Lp_OBTaWJBEyG1l-t185AI7vw_Emk9ggINGgAMSjEvIU8
2510,62,2,4694,1.60201E+12,2894,1306,FALSE,0,#NAME?
2511,29,7,218600,1.60308E+12,197000,0,TRUE,0,ZUxms248FcPcjw0Yr6IXOI53mXE-yTmoLJA1y9fNPHbAXos
2512,32,7,140484,1.59132E+12,118884,0,TRUE,0,xMOk0lLTUu6Ujg0guhvD9EOxSzE9FLt_s3UEv-glL-58mUc
2513,55,7,206591,1.60351E+12,184991,0,TRUE,0,IBmTI2LqV3Z3zeC0BxYTJmN0_gVwKWtRUMB5hEN43YurIYY
2514,267,5,24509,1.5886E+12,2909,0,TRUE,0,uOQPn1DZeK4YuWRncBfXS6RYQkbZphIlzhhTolfMmmdEL6ks
2515,77,7,139924,1.60231E+12,118324,0,FALSE,0,eXiuLw2SP-0bzcDTD-H5lZsMUAHLggUrLhXSG7AC2YnNAL8
2516,119,5,29501,1.59126E+12,7901,0,FALSE,0,Y7i56eT4U_9VEdOTB_n2SflmdP715FiBoxQyvzTQQPsB2DI
2517,350,7,88983,1.60339E+12,67383,0,TRUE,0,KFedrU3D_3E0OCLKWBiLpJxAGwncmVpCFCnQv_Kxexf5JG6b
2518,202,7,218762,1.60336E+12,197162,0,TRUE,0,9osoZcAF_GWIK47YB8GYixNnFZz17HUZQ-Wk0j3benIwhwg
2519,86,6,1097411,1.60352E+12,1075811,0,TRUE,2,5-5Yjsn6oRP1FLYslc8qm2Sao-VJR27kpIIZh2MHhalT2aM
2520,235,7,116106,1.60332E+12,94506,0,TRUE,0,ANCqURzzXA3mUq3dxB1FfI_UUqR3lTJu2Ajj6xkKxOg
2521,1,7,52394,1.60066E+12,30794,0,TRUE,0,N1oi8mGeeWcW_ZLmCwGjusKt46pc2RvGyExeuMJ5_eFr
2522,74,6,86735,1.60352E+12,65135,0,TRUE,0,v7SHJs-JhvO0GPJNVZSVfqjrZGAh7VPfUiddysLtf8R0RSY
2523,133,7,86977,1.60185E+12,65377,0,TRUE,0,3m9gHC4OFqFCTMoTReQwCzgdID5q0N3CmGEFUOxyBhgUBHue
2524,157,5,47223,1.60003E+12,25623,0,TRUE,0,qqSqOFux9vaBa3_rxOKon_hO2BhzlpjROMYha_eHLbMl-0zU
2525,238,3,6696,1.60125E+12,696,5904,TRUE,0,RljpPkC4DgpSSPDdhQjGt_4XQl4t1m_bZuWrW9zivslXkZlh
2526,59,7,226308,1.6034E+12,204708,0,TRUE,0,5jHamb5D3cZk6aBJN2ZhFLVlhmHKtnWhvfTZJtMJtFT8VyM
2527,25,6,169826,1.57157E+12,148226,0,FALSE,3,mq__bZ0yv5T7FxfI2Z9b_ANQS9T4ncDy_-PdgSojO6PwNFU
2528,82,7,113644,1.60159E+12,92044,0,TRUE,0,H1aFrSO9_gCG0l8AvnLDncOHHK3v9Ltcd5tOMUCU9tNsf4Fs
2529,45,7,83404,1.60326E+12,61804,0,TRUE,0,hgZnVsLH5jBRORhtaxRnGizbmH6LAZ7wn8jUzM0xSl2B4ZWm
2530,5,3,6879,1.5825E+12,879,5721,TRUE,0,rg3EIghLYGpXOkBb2AHsUnp1hjAp_vKs2xv73_O_ii9hBkw
2531,25,6,57820,1.60161E+12,36220,0,TRUE,2,_YR6DMN5JjXgjvnNO5bm3rMjizTAy9_suX_WjrYaC_gR3S4
2532,16,5,79654,1.46812E+12,58054,0,FALSE,0,Lwvc9fZijRPV6f17TwGzudP0CmSkgOh1HbXYbZWBF2lW8ys
2533,53,6,40678,1.60275E+12,19078,0,TRUE,2,ADEVpDMZ8-KT49Few8GQbdL3FP-74WDw3ON5g7TQwnICaGI
2534,119,5,46500,1.59556E+12,24900,0,TRUE,0,heVaDYfNJdP9hRDHIQhDJjZUHu-9-HFWuXHXFjU2G5mJPu0
2535,99,4,14020,1.60219E+12,1420,7580,TRUE,0,8aAMR9kuMaknLkNShVCNNnsVGnQSWvIMQp7X9F_EjxmlAP4D
2536,21,5,69173,1.60273E+12,47573,0,TRUE,0,CXRdjZw8wKSignG8eu-jxwJOb870Yd96ID85W9BUMKkDKXvH
2537,57,3,8308,1.58442E+12,2308,4292,FALSE,0,MKxUntX1-Z9nLIOPCxBprPbN00Sx6fPAr25VcFQWY0aG0KU
2538,104,4,12924,1.60093E+12,324,8676,TRUE,0,DfLCvExB-ovTP9HOXDfa0EmVc1eejdQ6-8VnZmj9X6j300E
2539,82,7,185651,1.60019E+12,164051,0,TRUE,0,4TNtNcnsANvwYM99vedo_Y7WM1l7opmV3F0JD4Xokb-Sa4dK
2540,222,6,152051,1.60307E+12,130451,0,TRUE,1,SJhIJgY5fDQEyg_EjxYfJ4a2-f9V46t37elN33FiiTAxBNU
2541,53,7,94863,1.59323E+12,73263,0,TRUE,0,J6H4x1hQVmRTHfPw5hw88q9-UYhjkbSSg7JsjOUE1JrN8P0
2542,412,7,119441,1.59824E+12,97841,0,TRUE,0,VgiyaHkBakp4zUYYhU3INKdrbBM_s-phQK8OPTlaUr3tJio
2543,99,7,129684,1.60236E+12,108084,0,TRUE,0,g5AvyVHcljfod_7sVEAgpLYtYGHTVkqt2Qsa-laFGq2T8o8
2544,412,7,145244,1.59021E+12,123644,0,TRUE,0,A2w4ExO8czgYx_xWTDIFZbp6yQb1XgwuyvXzrPAMPVbJ56A
2545,157,5,61199,1.54085E+12,39599,0,FALSE,2,kr5SEra7UmmD9fZa-VDhnqgSL2DNHpPsX9nMfEgqeE0CqZQ
2546,86,6,79155,1.60245E+12,57555,0,TRUE,2,jMPXo-V1sU2bBWNOoaKLghQ0NNaZTIzygCOvbzdY-vY7xZY
2547,54,7,158696,1.60345E+12,137096,0,TRUE,0,SVePec2xJK4oFsgzQYFcQkQwtqMl22gHyEfYHpa5YFayXbw
2548,77,4,17018,1.60179E+12,4418,4582,TRUE,0,sJ2LqF4ZQ2OxvMeUT1XSkIpbjoJpf-tJMB2S7qPOM6YbYOI
2549,25,7,150125,1.58739E+12,128525,0,TRUE,0,9ocqVOVDvN0a-sw3ZLT3V9-vtdSMkBTvvaNNvdNP9oNINMw
