,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
8356,412,7,104973,1593999764000,83373,0,False,0,adxBSAbCydo45_SdJOt09-pXyhovniuwQMWI1SYo2RLPIuo
8357,412,7,507901,1603531108000,486301,0,True,0,5qmTwlJsum2hU24hv73SxyCnEgCK3-rys9KxGfAclNkrCek
8358,99,7,1032266,1594360768000,1010666,0,True,0,hi__QIcWuUXRLRkwtpj07rNCAGpzzttYbw4fWxDHexbuVzw
8359,518,7,406620,1603468278000,385020,0,True,0,gBCyEoM43utidbhCS_Ee7aZ70-0uS3bICcCskYUnIbjbtn0
8360,29,7,97589,1599592661000,75989,0,True,0,QIj_KzOZ155sTbUvOp8v87hPxGxyYEsiBSVZ7wt5YAnjpTa1
8361,11,7,186563,1590549217000,164963,0,True,0,-hTVk30tGxNVUtIr5ZHIGLwvkgCSU_bvXMT-NcRsspL2Fpg
8362,101,7,260415,1602131913000,238815,0,True,0,YYUv6DPUTHU-RcMserUDQZuB2YcF34L_knlSc-uRQ1tpNME
8363,245,7,342810,1603423402000,321210,0,True,0,8pCHRZOSOXeN7GgpNpsa13dsiLObI99cfuwoSa13OHjZLOc
8364,67,7,751059,1603370971000,729459,0,True,0,fEplzJb8hd2LM6hTWcHdxYjBKgI4Wwv7Ejccx9MJ11bJkCA
8365,11,5,63895,1585522292000,42295,0,True,2,qyye4DDJMtrqABtWO0_AbLz3ODe3DW7PFIZBVACNe8JpBV1Y
8366,37,7,120968,1603062299000,99368,0,True,0,nGE7EUllOjQiDHfTPRTp24Sf8wu0B44WRRE4STMLqdUR8S4
8367,35,7,470779,1602450588000,449179,0,True,0,XPY1p6Vk9mNBmLFT7YKyIR-V4jYXTzw5w9HjSXecOTHXU98
8368,121,7,150098,1603535128000,128498,0,True,0,RPO395EkkEqZsu_dStGn7OYN-_JlnaKqmq5lQKJsBKJERJ0
8369,164,7,200061,1589591679000,178461,0,False,0,MlqFOhkU5WuMNxlrIbN6PZzp_L6LSyAoo0_neMz-h_mG-Kw
8370,245,7,174572,1602391274000,152972,0,True,0,bZbmSm_jWjpqo6DKp3LjDiciSWvANYVMtY2l7K7mrOFV8ZU
8371,432,7,97081,1602123739000,75481,0,True,0,85dAcHwnmn07ll6i9m-Kxjj3_7N1yhs4KvWIYgagke_9xR8
8372,98,7,186559,1602649122000,164959,0,True,0,Q4qSB__APBcXhUu_6uoAOeXQ4S_D-kOKMcyd7mxp1KZDcnw
8373,103,7,167525,1603069716000,145925,0,True,0,ih3UoinTNV9U2SpbYTiqYXu43pHhxqjIWArMqRLb3GvSeTA
8374,117,4,18766,1602984788000,6166,2834,True,0,AJCb1GzO2ZugaMXRXERVngL2pk_z_RlPSwm94ibam55LBvQ1
8375,51,6,212640,1603386088000,191040,0,True,3,JEYJtswx3qeiG1hQaWITipEFwQTYqzd3zjbJQxERSIHGJTU
8376,75,7,95634,1580464441000,74034,0,False,0,YlGndoGKiluWZJV9iAtcTT8BFu9VnCDfxUsVnAeMnPmGR-7O
8377,81,5,69632,1598500305000,48032,0,True,2,p_UQlbCBXIa4gdRbeAqeob7hU0jMnMg4nWeOV7tfWtJTxUo
8378,115,4,19528,1499024634000,6928,2072,False,0,WmMqf4jJhMlVFdc6uM6aNQinVFvL5wWZOVWXR9p9olnvz5M
8379,67,7,118852,1595471115000,97252,0,True,0,qnnZXIwQN2C0tIrYAxf6RanFomv02mjl9BOmzhAqH8ic-Ew
8380,60,7,472599,1603518600000,450999,0,True,0,v1VBOtjZ9KSbm7OBRPjhYMaJx8C0htlH8Cj4BKx6fCGfOtA
8381,16,7,54668,1595663140000,33068,0,True,0,prpN9TucrH8k-e4hs9OeGTAfjiFUywMvE3jOCetdNs5Z1EYj
8382,157,5,159887,1584944364000,138287,0,True,2,51R1FkorHbFx-oA3a_k1O_yYT846__bcZ8fDQbrvoIHoW3w
8383,875,7,62641,1603126117000,41041,0,True,0,Dl999izLspjFzAtW6FpNxy5MTIn89cOVAkDuFhZzQlEd57E
8384,74,6,36355,1603069192000,14755,0,True,3,qTInJzJ2BRb-OMdc-Qv8v6berJXBpnn0uXDNc_RyQT2wkelY
8385,245,6,167095,1603523604000,145495,0,True,0,rMPWiP4qwtAUL7tmsQ_fly4K-T99vHQdqvvo-vGN1wvYi5I
8386,62,6,159648,1591477051000,138048,0,False,0,5D-xa8w0N0fyx1QIZVdanoCUVo3q-pggNgkDDfckfJbKDZI
8387,238,7,68380,1580286250000,46780,0,True,0,eZQtxeBMq1sGD5ngvysc6i2CGFGKNDSIsuMaMd-Z59d0-2Mr
8388,64,7,179811,1594449201000,158211,0,True,0,61_7fsOFbGZNwR0gE9zpEY2iQW36bsmvA4T8QwUF4JCw5L0
8389,516,5,42929,1585604416000,21329,0,True,1,hRVZ31TgbMDb89aUCCccN6jSY5LeqehMQRRXL9i-Y1zZv54
8390,92,7,448325,1603158631000,426725,0,False,0,_xyhG4EsV6voRQLSV0m-uV7Ch30cJUCULv1-iB4rDPJUxRs
8391,117,7,383446,1602920283000,361846,0,True,0,hw_ZjEOWlFpa_GW-iOO98CJ0ZjO3lTI-gqZfj_yWD_kjmEQ
8392,103,5,97851,1603170857000,76251,0,True,2,_YJv6hfRo1DLSST1GjsBuJH0_0KNJ9MDNqkF5pMWkxhURIw
8393,412,7,470666,1589338884000,449066,0,True,0,BkUrFInVOIsNyz8p8uuRMJ8M7PH6PAQV74FJoUprMsVBt0w
